,rank,mean_importance
utr5_log_size,58.0,74.35241500139236
cds_log_size,1.0,7148.847528612614
utr3_log_size,2.0,1125.842660665512
tx_log_size,24.0,150.50953888893127
A_percent5,76.0,61.280529856681824
T_percent5,143.0,27.509211802482604
G_percent5,59.0,74.3322732925415
C_percent5,108.0,45.01335607767105
A_percent3,18.0,188.8894551575184
T_percent3,35.0,111.40900481939316
G_percent3,37.0,106.38539742827416
C_percent3,77.0,60.90551890134812
codon_freq_AAA,64.0,67.28102799654008
codon_freq_AAT,19.0,185.89140864014627
codon_freq_AAG,3.0,1094.546969884634
codon_freq_AAC,57.0,76.89268099069595
codon_freq_ATA,14.0,230.3292171061039
codon_freq_ATT,27.0,144.37516783475877
codon_freq_ATG,36.0,107.89080275297165
codon_freq_ATC,12.0,303.75172355175016
codon_freq_AGA,62.0,69.45314090251922
codon_freq_AGT,82.0,59.066106009483335
codon_freq_AGG,16.0,206.04088286757468
codon_freq_AGC,21.0,171.26954836845397
codon_freq_ACA,118.0,40.1474351644516
codon_freq_ACT,63.0,67.6431433558464
codon_freq_ACG,128.0,36.58446262478829
codon_freq_ACC,71.0,63.84449585676193
codon_freq_TAA,134.0,34.387570881843565
codon_freq_TAT,126.0,37.243950927257536
codon_freq_TAG,80.0,60.033987081050874
codon_freq_TAC,117.0,40.61517081856728
codon_freq_TTA,39.0,106.22518745064735
codon_freq_TTT,79.0,60.04929959774017
codon_freq_TTG,103.0,48.23605580329895
codon_freq_TTC,84.0,56.667797446250916
codon_freq_TGA,43.0,95.8515854537487
codon_freq_TGT,105.0,47.473319840431216
codon_freq_TGG,56.0,78.26557275652885
codon_freq_TGC,25.0,147.0682238459587
codon_freq_TCA,33.0,118.13744879961014
codon_freq_TCT,72.0,62.923359179496764
codon_freq_TCG,44.0,94.70365272760391
codon_freq_TCC,49.0,89.23188964128494
codon_freq_GAA,114.0,41.25661271214485
codon_freq_GAT,13.0,298.7172641038895
codon_freq_GAG,65.0,65.84939218759537
codon_freq_GAC,102.0,48.611738884449004
codon_freq_GTA,90.0,54.666294330358504
codon_freq_GTT,47.0,91.12321695685387
codon_freq_GTG,81.0,59.94583107829094
codon_freq_GTC,85.0,56.45925376415253
codon_freq_GGA,111.0,43.35693200826645
codon_freq_GGT,6.0,589.2566217422485
codon_freq_GGG,29.0,136.46761413812638
codon_freq_GGC,34.0,116.59668803215027
codon_freq_GCA,133.0,34.53256393671036
codon_freq_GCT,8.0,415.0514685034752
codon_freq_GCG,99.0,50.3787938117981
codon_freq_GCC,104.0,47.908993512392044
codon_freq_CAA,17.0,189.91566792726516
codon_freq_CAT,66.0,65.18391050100327
codon_freq_CAG,98.0,51.17051309347153
codon_freq_CAC,48.0,90.45445910692214
codon_freq_CTA,96.0,51.742944771051405
codon_freq_CTT,112.0,42.6952681183815
codon_freq_CTG,122.0,38.344804644584656
codon_freq_CTC,46.0,91.9034178674221
codon_freq_CGA,67.0,65.10271438360215
codon_freq_CGT,10.0,356.87107357978823
codon_freq_CGG,100.0,50.23481675386429
codon_freq_CGC,94.0,52.58429383039474
codon_freq_CCA,78.0,60.14321534633636
codon_freq_CCT,109.0,43.98789952993393
codon_freq_CCG,20.0,184.19182708263398
codon_freq_CCC,30.0,123.93416403532028
aa_freq_M,92.0,53.16892617940903
aa_freq_I,15.0,230.23233647346495
aa_freq_L,11.0,347.8886448562145
aa_freq_V,31.0,123.7233139872551
aa_freq_F,70.0,64.27502583265304
aa_freq_C,4.0,638.8270619988441
aa_freq_A,88.0,55.30995761156082
aa_freq_G,97.0,51.7040632545948
aa_freq_P,32.0,121.16568965911866
aa_freq_T,73.0,62.62119767665863
aa_freq_S,5.0,610.4066600680351
aa_freq_Y,115.0,41.00705021619797
aa_freq_W,154.0,19.77053906917572
aa_freq_Q,42.0,97.126003074646
aa_freq_N,23.0,150.67754031419753
aa_freq_H,9.0,369.6106807231903
aa_freq_E,45.0,91.94284173846245
aa_freq_D,7.0,504.97593916654586
aa_freq_K,28.0,141.09704023599625
aa_freq_R,41.0,103.12999512553215
aa_freq_X,161.0,0.0
3mer_freq_5_AAA,89.0,55.205841743946074
3mer_freq_5_AAT,138.0,33.76373431682587
3mer_freq_5_AAG,151.0,23.299806070327758
3mer_freq_5_AAC,52.0,81.97543475627899
3mer_freq_5_ATA,159.0,9.959977215528488
3mer_freq_5_ATT,155.0,16.840644866228104
3mer_freq_5_ATG,127.0,36.59168713092804
3mer_freq_5_ATC,146.0,25.980536997318268
3mer_freq_5_AGA,107.0,46.76336096525192
3mer_freq_5_AGT,139.0,33.586400645971295
3mer_freq_5_AGG,135.0,34.33824299573898
3mer_freq_5_AGC,125.0,37.73205418586731
3mer_freq_5_ACA,113.0,41.48103216290474
3mer_freq_5_ACT,61.0,69.69372780323029
3mer_freq_5_ACG,87.0,55.55240290164947
3mer_freq_5_ACC,93.0,52.66827939152718
3mer_freq_5_TAA,149.0,24.146867060661314
3mer_freq_5_TAT,160.0,8.887105989456177
3mer_freq_5_TAG,147.0,25.568329554796218
3mer_freq_5_TAC,152.0,21.222087651491165
3mer_freq_5_TTA,158.0,11.006902265548707
3mer_freq_5_TTT,22.0,164.93112686872482
3mer_freq_5_TTG,153.0,19.837742972373963
3mer_freq_5_TTC,26.0,146.6754503786564
3mer_freq_5_TGA,142.0,28.669595098495485
3mer_freq_5_TGT,141.0,29.079966008663177
3mer_freq_5_TGG,130.0,35.67932704687119
3mer_freq_5_TGC,95.0,52.46695517897606
3mer_freq_5_TCA,144.0,27.29997001886368
3mer_freq_5_TCT,51.0,85.16906061172486
3mer_freq_5_TCG,54.0,79.12131146788597
3mer_freq_5_TCC,136.0,33.94082114696503
3mer_freq_5_GAA,137.0,33.923386943340304
3mer_freq_5_GAT,157.0,14.012305986881255
3mer_freq_5_GAG,129.0,35.93145530223846
3mer_freq_5_GAC,145.0,26.655392038822175
3mer_freq_5_GTA,156.0,16.07498369216919
3mer_freq_5_GTT,150.0,23.484907114505766
3mer_freq_5_GTG,131.0,35.679141235351565
3mer_freq_5_GTC,119.0,39.853378349542616
3mer_freq_5_GGA,140.0,29.207712388038637
3mer_freq_5_GGT,123.0,38.000570052862166
3mer_freq_5_GGG,69.0,64.57656010985374
3mer_freq_5_GGC,68.0,64.91708510518075
3mer_freq_5_GCA,116.0,41.00385374426842
