,rank,mean_importance
utr5_log_size,39.0,9.594713667407632
cds_log_size,1.0,89.03229798302054
utr3_log_size,5.0,31.236093679815532
tx_log_size,2.0,45.529479924589396
A_percent5,111.0,4.479089061170816
T_percent5,45.0,8.063579539209604
G_percent5,72.0,5.965121362358332
C_percent5,71.0,5.991906350851059
A_percent3,10.0,22.825035141408442
T_percent3,31.0,10.781924752146006
G_percent3,67.0,6.187801358103752
C_percent3,18.0,17.878606788814068
codon_freq_AAA,130.0,3.602029063925147
codon_freq_AAT,139.0,3.04153126552701
codon_freq_AAG,7.0,26.454335908591748
codon_freq_AAC,51.0,7.171021202951669
codon_freq_ATA,38.0,9.608532478660345
codon_freq_ATT,112.0,4.423457899689675
codon_freq_ATG,108.0,4.509163796901703
codon_freq_ATC,9.0,23.915445560216902
codon_freq_AGA,52.0,7.016412832587958
codon_freq_AGT,118.0,4.158828095346689
codon_freq_AGG,14.0,19.235410740226506
codon_freq_AGC,25.0,13.424420297145844
codon_freq_ACA,106.0,4.537331247329712
codon_freq_ACT,95.0,4.7663887571543455
codon_freq_ACG,128.0,3.6742223776876926
codon_freq_ACC,28.0,10.966454277932645
codon_freq_TAA,47.0,7.694602961093187
codon_freq_TAT,98.0,4.68914120644331
codon_freq_TAG,158.0,1.3416672624647616
codon_freq_TAC,89.0,5.116607370972633
codon_freq_TTA,75.0,5.859889075905085
codon_freq_TTT,62.0,6.616318190097809
codon_freq_TTG,100.0,4.647980570048094
codon_freq_TTC,88.0,5.167539992928505
codon_freq_TGA,142.0,2.556589911878109
codon_freq_TGT,76.0,5.782688824087382
codon_freq_TGG,29.0,10.924381805211306
codon_freq_TGC,4.0,37.41445283964276
codon_freq_TCA,37.0,9.711088225245476
codon_freq_TCT,120.0,4.1334528513252735
codon_freq_TCG,123.0,4.042623770236969
codon_freq_TCC,35.0,9.920100641995669
codon_freq_GAA,97.0,4.748696850240231
codon_freq_GAT,12.0,20.883429238945247
codon_freq_GAG,57.0,6.791064122319222
codon_freq_GAC,86.0,5.311420594900847
codon_freq_GTA,43.0,8.610709851980209
codon_freq_GTT,105.0,4.596239127218723
codon_freq_GTG,32.0,10.758035317063332
codon_freq_GTC,64.0,6.370535983145237
codon_freq_GGA,53.0,6.879109277203679
codon_freq_GGT,6.0,29.40717551894486
codon_freq_GGG,22.0,14.366472259163857
codon_freq_GGC,96.0,4.753914152085781
codon_freq_GCA,80.0,5.4802895650267605
codon_freq_GCT,17.0,18.252584394812583
codon_freq_GCG,82.0,5.438944916054607
codon_freq_GCC,126.0,3.928939884901047
codon_freq_CAA,114.0,4.3833550326526165
codon_freq_CAT,93.0,4.819246397539973
codon_freq_CAG,73.0,5.899935026466847
codon_freq_CAC,59.0,6.678185436502099
codon_freq_CTA,119.0,4.137905305624008
codon_freq_CTT,66.0,6.289106083661318
codon_freq_CTG,8.0,25.93410903662443
