,rank,mean_importance
utr5_log_size,33.0,10.318024660274386
cds_log_size,1.0,89.54520157575607
utr3_log_size,5.0,30.505200500413775
tx_log_size,2.0,44.59681043624878
A_percent5,112.0,4.15230853036046
T_percent5,49.0,7.196560300886631
G_percent5,67.0,5.977392338216305
C_percent5,89.0,5.170013473182917
A_percent3,9.0,23.276937947422265
T_percent3,31.0,10.701435933634638
G_percent3,86.0,5.287606818974018
C_percent3,18.0,17.292630365490915
codon_freq_AAA,138.0,3.2850779213011263
codon_freq_AAT,125.0,3.808958438038826
codon_freq_AAG,7.0,26.120163955539464
codon_freq_AAC,47.0,7.413284916430712
codon_freq_ATA,36.0,9.694411603361369
codon_freq_ATT,133.0,3.5093805968761442
codon_freq_ATG,113.0,4.145990435779095
codon_freq_ATC,10.0,22.247345492243767
codon_freq_AGA,58.0,6.528279918804765
codon_freq_AGT,124.0,3.8287789724767207
codon_freq_AGG,15.0,18.592311979085206
codon_freq_AGC,24.0,13.729954655095934
codon_freq_ACA,114.0,4.123256675899029
codon_freq_ACT,97.0,4.654268217459321
codon_freq_ACG,134.0,3.447233397513628
codon_freq_ACC,30.0,11.826235891878605
codon_freq_TAA,44.0,8.043456722050905
codon_freq_TAT,103.0,4.408476339280606
codon_freq_TAG,168.0,1.1121178966015577
codon_freq_TAC,82.0,5.3663742281496525
codon_freq_TTA,94.0,4.856545823812485
codon_freq_TTT,74.0,5.7663061514496805
codon_freq_TTG,110.0,4.1969151075929405
codon_freq_TTC,77.0,5.55852418616414
codon_freq_TGA,155.0,2.073677609860897
codon_freq_TGT,81.0,5.377405093610287
codon_freq_TGG,32.0,10.411302594840526
codon_freq_TGC,4.0,37.948262977600095
codon_freq_TCA,37.0,9.376530999690294
codon_freq_TCT,111.0,4.154158131778241
codon_freq_TCG,126.0,3.7860283859074118
codon_freq_TCC,42.0,9.027373572438956
codon_freq_GAA,91.0,5.049748480319977
codon_freq_GAT,12.0,20.013614086061715
codon_freq_GAG,53.0,6.976809756457806
codon_freq_GAC,88.0,5.184681109338999
codon_freq_GTA,50.0,7.1899988319724795
codon_freq_GTT,115.0,4.06241108700633
codon_freq_GTG,29.0,12.176496147364379
codon_freq_GTC,76.0,5.6637116454541685
codon_freq_GGA,59.0,6.37737726867199
codon_freq_GGT,6.0,29.828777335956694
codon_freq_GGG,28.0,12.527728287875652
codon_freq_GGC,98.0,4.6034787453711035
codon_freq_GCA,85.0,5.305968856066466
codon_freq_GCT,17.0,18.1143441401422
codon_freq_GCG,93.0,4.866107912361622
codon_freq_GCC,130.0,3.549489991366863
codon_freq_CAA,108.0,4.223319321870804
codon_freq_CAT,106.0,4.3399882722646
codon_freq_CAG,75.0,5.750125809758901
codon_freq_CAC,69.0,5.963943310827017
codon_freq_CTA,100.0,4.541513720527291
codon_freq_CTT,62.0,6.2210328981280325
codon_freq_CTG,8.0,24.756346797943117
codon_freq_CTC,41.0,9.09132715240121
codon_freq_CGA,39.0,9.323773457109928
codon_freq_CGT,13.0,19.251384062319993
codon_freq_CGG,101.0,4.531077492237091
codon_freq_CGC,73.0,5.81038728505373
codon_freq_CCA,54.0,6.86081398949027
codon_freq_CCT,40.0,9.181753311306238
codon_freq_CCG,123.0,3.850266954302788
codon_freq_CCC,23.0,13.881377962231635
aa_freq_M,151.0,2.237367096543312
aa_freq_I,38.0,9.3662329480052
aa_freq_L,16.0,18.57624757811427
aa_freq_V,83.0,5.360684214532375
aa_freq_F,78.0,5.477122107893228
aa_freq_C,14.0,18.65838134549558
aa_freq_A,102.0,4.457096392661333
aa_freq_G,34.0,9.869993720948695
aa_freq_P,3.0,41.00868387818336
aa_freq_T,105.0,4.3620441377162935
aa_freq_S,11.0,20.18489529341459
aa_freq_Y,92.0,5.029739848524332
aa_freq_W,71.0,5.848660112544894
aa_freq_Q,51.0,7.174999488145113
aa_freq_N,61.0,6.289314574003219
aa_freq_H,57.0,6.600428229570388
aa_freq_E,43.0,8.909592839330434
aa_freq_D,35.0,9.728874151408672
aa_freq_K,25.0,13.246985957026482
aa_freq_R,19.0,15.790033337473869
aa_freq_X,175.0,0.0
3mer_freq_5_AAA,132.0,3.5330128841102124
3mer_freq_5_AAT,158.0,1.9109497368335724
3mer_freq_5_AAG,109.0,4.20494284555316
3mer_freq_5_AAC,107.0,4.294362857192755
3mer_freq_5_ATA,169.0,1.0790377669036388
3mer_freq_5_ATT,154.0,2.1229801677167415
3mer_freq_5_ATG,156.0,2.037020595371723
3mer_freq_5_ATC,127.0,3.688012097030878
3mer_freq_5_AGA,122.0,3.907973064109683
3mer_freq_5_AGT,118.0,3.99835352525115
3mer_freq_5_AGG,139.0,3.2628433242440225
3mer_freq_5_AGC,70.0,5.8780104868114
3mer_freq_5_ACA,84.0,5.3569597691297535
3mer_freq_5_ACT,104.0,4.384041325002909
3mer_freq_5_ACG,131.0,3.5371476761996745
3mer_freq_5_ACC,46.0,7.557556445151567
3mer_freq_5_TAA,166.0,1.1372052513062954
3mer_freq_5_TAT,163.0,1.413532704114914
3mer_freq_5_TAG,159.0,1.9072750419378282
3mer_freq_5_TAC,160.0,1.885102354735136
