,rank,mean_importance
utr5_log_size,62.0,4.555262181162834
cds_log_size,14.0,16.58328209668398
utr3_log_size,64.0,4.244031824916601
tx_log_size,20.0,10.566135126352311
A_percent5,492.0,0.49470034539699553
T_percent5,290.0,0.9183554865419865
G_percent5,171.0,1.66829549446702
C_percent5,211.0,1.3417854234576225
A_percent3,55.0,4.953201017528772
T_percent3,156.0,1.7748522073030473
G_percent3,305.0,0.8811271972954273
C_percent3,68.0,4.154568686336279
codon_freq_AAA,252.0,1.1167558208107948
codon_freq_AAT,247.0,1.1284386910498143
codon_freq_AAG,71.0,3.996118475496769
codon_freq_AAC,113.0,2.4769207283854486
codon_freq_ATA,296.0,0.9072924926877022
codon_freq_ATT,208.0,1.3715935848653316
codon_freq_ATG,371.0,0.7286730572581291
codon_freq_ATC,61.0,4.556118210405112
codon_freq_AGA,283.0,0.9515039592981338
codon_freq_AGT,374.0,0.7167539402842522
codon_freq_AGG,60.0,4.691055754572153
codon_freq_AGC,93.0,2.9733744747936726
codon_freq_ACA,253.0,1.1030205234885215
codon_freq_ACT,292.0,0.9130702994763851
codon_freq_ACG,488.0,0.502940571308136
codon_freq_ACC,46.0,5.716094838082791
codon_freq_TAA,387.0,0.6933274045586586
codon_freq_TAT,326.0,0.8347385972738266
codon_freq_TAG,636.0,0.35221764743328093
codon_freq_TAC,243.0,1.1443841069936753
codon_freq_TTA,400.0,0.6467719905078411
codon_freq_TTT,299.0,0.8998926833271981
codon_freq_TTG,446.0,0.5649764999747277
codon_freq_TTC,114.0,2.4745720088481904
codon_freq_TGA,379.0,0.7090322978794574
codon_freq_TGT,186.0,1.5427880845963955
codon_freq_TGG,73.0,3.904044081270695
codon_freq_TGC,13.0,16.70244799926877
codon_freq_TCA,209.0,1.3497656010091306
codon_freq_TCT,339.0,0.8102090999484062
codon_freq_TCG,428.0,0.5902377925813198
codon_freq_TCC,158.0,1.7619395084679126
codon_freq_GAA,340.0,0.8069107040762902
codon_freq_GAT,53.0,5.111240584403276
codon_freq_GAG,220.0,1.277553305029869
codon_freq_GAC,260.0,1.0435400046408176
codon_freq_GTA,131.0,2.1003060109913347
codon_freq_GTT,483.0,0.5087461985647679
codon_freq_GTG,122.0,2.300923578068614
codon_freq_GTC,164.0,1.7165135994553566
codon_freq_GGA,261.0,1.0399534121155738
codon_freq_GGT,132.0,2.075743431597948
codon_freq_GGG,81.0,3.3831498324871063
codon_freq_GGC,257.0,1.0730127818882464
codon_freq_GCA,304.0,0.8826948717236519
codon_freq_GCT,70.0,4.052165322750807
codon_freq_GCG,244.0,1.1365590862929822
codon_freq_GCC,641.0,0.34852010011672974
codon_freq_CAA,442.0,0.5720900975167751
codon_freq_CAT,189.0,1.5116104029119015
codon_freq_CAG,328.0,0.8298886306583881
codon_freq_CAC,127.0,2.158326295763254
codon_freq_CTA,443.0,0.5713491410017013
codon_freq_CTT,135.0,2.019013237208128
codon_freq_CTG,21.0,10.145820926874876
codon_freq_CTC,125.0,2.200756297260523
codon_freq_CGA,74.0,3.8239615693688394
codon_freq_CGT,121.0,2.310850927978754
codon_freq_CGG,80.0,3.4187938064336776
codon_freq_CGC,274.0,0.9751039914786815
codon_freq_CCA,219.0,1.2921393305063247
codon_freq_CCT,148.0,1.8536762960255146
codon_freq_CCG,349.0,0.7802058979868889
codon_freq_CCC,82.0,3.3797039493918417
aa_freq_M,842.0,0.21233200132846833
aa_freq_I,161.0,1.748067356646061
aa_freq_L,117.0,2.4036840431392195
aa_freq_V,223.0,1.2631323620676995
aa_freq_F,190.0,1.5061626136302948
aa_freq_C,100.0,2.8560678854584696
aa_freq_A,251.0,1.11754010617733
aa_freq_G,214.0,1.3346877835690976
aa_freq_P,15.0,14.27651294991374
aa_freq_T,201.0,1.4214420840144157
aa_freq_S,63.0,4.363143008202314
aa_freq_Y,150.0,1.838945523649454
aa_freq_W,185.0,1.5566350877285005
aa_freq_Q,165.0,1.7142731331288814
aa_freq_N,44.0,5.747731027007103
aa_freq_H,86.0,3.2745592936873438
aa_freq_E,238.0,1.1768665850162505
aa_freq_D,163.0,1.7262857031077146
aa_freq_K,143.0,1.895858097821474
aa_freq_R,18.0,10.658299523591996
aa_freq_X,1649.0,0.0
3mer_freq_5_AAA,366.0,0.7516778990626335
3mer_freq_5_AAT,458.0,0.5421486973762513
3mer_freq_5_AAG,212.0,1.3404780387878419
3mer_freq_5_AAC,248.0,1.1230993106961251
3mer_freq_5_ATA,791.0,0.24629573822021483
3mer_freq_5_ATT,496.0,0.4884494975209236
3mer_freq_5_ATG,263.0,1.033636199682951
3mer_freq_5_ATC,302.0,0.8842740215361118
3mer_freq_5_AGA,278.0,0.9649285532534122
3mer_freq_5_AGT,129.0,2.1210007168352605
3mer_freq_5_AGG,502.0,0.4815164014697075
3mer_freq_5_AGC,101.0,2.845786926150322
3mer_freq_5_ACA,155.0,1.7752941496670247
3mer_freq_5_ACT,548.0,0.4382655009627342
3mer_freq_5_ACG,235.0,1.192882889509201
3mer_freq_5_ACC,149.0,1.8390960961580276
3mer_freq_5_TAA,716.0,0.294055300951004
