,rank,mean_importance
utr5_log_size,113.0,1.3765035152435303
cds_log_size,1.0,71.3273015871644
utr3_log_size,37.0,4.047040696442127
tx_log_size,3.0,30.9944759786129
A_percent,1249.0,0.21792709678411484
T_percent,130.0,1.215913213789463
G_percent,43.0,3.3251362308859824
C_percent,7.0,15.319573193788528
A_percent5,3983.0,0.08200119882822036
T_percent5,202.0,0.8946624085307121
G_percent5,290.0,0.696594201773405
C_percent5,412.0,0.5192532002925873
A_percentC,6880.0,0.03196099996566772
T_percentC,12636.5,0.0
G_percentC,47.0,3.1464327037334443
C_percentC,245.0,0.7686266094446182
A_percent3,87.0,1.7252801090478898
T_percent3,1285.0,0.2130100965499878
G_percent3,3604.0,0.0917148008942604
C_percent3,112.0,1.385044115781784
A_wobble_percent,679.0,0.345899498462677
T_wobble_percent,607.0,0.3775898009538651
G_wobble_percent,12636.5,0.0
C_wobble_percent,193.0,0.9421090900897979
codon_freq_AAA,1318.0,0.20949749648571014
codon_freq_AAT,1780.0,0.1684332013130188
codon_freq_AAG,8.0,14.873964747786522
codon_freq_AAC,131.0,1.208838614821434
codon_freq_ATA,51.0,2.818760794401169
codon_freq_ATT,1437.0,0.1989150047302246
codon_freq_ATG,1837.0,0.16394830197095872
codon_freq_ATC,14.0,7.81819027364254
codon_freq_AGA,4419.0,0.07243030071258545
codon_freq_AGT,1041.0,0.2523150950670242
codon_freq_AGG,19.0,6.935552397370339
codon_freq_AGC,30.0,4.55022539794445
codon_freq_ACA,5872.0,0.04579130113124848
codon_freq_ACT,1409.0,0.20054329931735992
codon_freq_ACG,4518.0,0.07006610035896302
codon_freq_ACC,175.0,1.0101203083992005
codon_freq_TAA,77.0,1.9325286909937858
codon_freq_TAT,7183.0,0.02802630066871643
codon_freq_TAG,6542.0,0.036579600721597674
codon_freq_TAC,981.0,0.26145950257778167
codon_freq_TTA,339.0,0.610487587749958
codon_freq_TTT,4521.0,0.0699870005249977
codon_freq_TTG,2406.0,0.13270530104637146
codon_freq_TTC,280.0,0.7118495926260948
codon_freq_TGA,1941.0,0.15707190185785294
codon_freq_TGT,108.0,1.4187442168593407
codon_freq_TGG,41.0,3.393040585517883
codon_freq_TGC,2.0,31.13177987858653
codon_freq_TCA,147.0,1.1066754028201102
codon_freq_TCT,2125.0,0.14717319309711457
codon_freq_TCG,669.0,0.35004030019044874
codon_freq_TCC,1949.0,0.15675060153007508
codon_freq_GAA,1143.0,0.2353309988975525
codon_freq_GAT,22.0,6.078403529524803
codon_freq_GAG,802.0,0.30495880246162416
codon_freq_GAC,1261.0,0.21656030118465425
codon_freq_GTA,198.0,0.9135772049427032
codon_freq_GTT,12636.5,0.0
codon_freq_GTG,74.0,1.9879799902439117
codon_freq_GTC,366.0,0.5738208934664726
codon_freq_GGA,764.0,0.31568290293216705
codon_freq_GGT,4.0,20.208152448385952
codon_freq_GGG,59.0,2.347931808233261
codon_freq_GGC,548.0,0.412416997551918
codon_freq_GCA,3219.0,0.1029729962348938
codon_freq_GCT,10.0,10.889655533432961
codon_freq_GCG,1117.0,0.2388604000210762
codon_freq_GCC,3304.0,0.10007300376892089
codon_freq_CAA,563.0,0.4076484009623528
codon_freq_CAT,389.0,0.5520085841417313
codon_freq_CAG,5817.0,0.046672800183296205
codon_freq_CAC,160.0,1.0598226130008697
codon_freq_CTA,2037.0,0.15150560140609742
codon_freq_CTT,393.0,0.5483171984553337
codon_freq_CTG,15.0,7.6626494333148
codon_freq_CTC,292.0,0.6870976150035858
codon_freq_CGA,46.0,3.188431504368782
codon_freq_CGT,11.0,10.849339681863786
codon_freq_CGG,2058.0,0.15030780136585237
codon_freq_CGC,578.0,0.39601649940013883
codon_freq_CCA,223.0,0.824521504342556
codon_freq_CCT,21.0,6.442935109138489
codon_freq_CCG,2138.0,0.14640640169382096
codon_freq_CCC,3242.0,0.10245279669761657
dicodon_count_AGGCGA,12636.5,0.0
dicodon_count_AGGCGG,12636.5,0.0
dicodon_count_ATACGA,12636.5,0.0
dicodon_count_ATACGG,12636.5,0.0
dicodon_count_CGAATA,12636.5,0.0
dicodon_count_CGACCG,12636.5,0.0
dicodon_count_CGACGA,12636.5,0.0
dicodon_count_CGACGG,12636.5,0.0
dicodon_count_CGACTG,12636.5,0.0
dicodon_count_CGAGCG,12636.5,0.0
dicodon_count_CTCATA,8245.0,0.018444399535655975
dicodon_count_CTCCCG,12636.5,0.0
dicodon_count_CTGATA,12636.5,0.0
dicodon_count_CTGCCG,12636.5,0.0
dicodon_count_CTGCGA,12636.5,0.0
dicodon_count_CTGCTG,12636.5,0.0
dicodon_count_CTTCTG,12636.5,0.0
dicodon_count_GTACCG,12636.5,0.0
dicodon_count_GTACGA,6282.0,0.03989510089159012
dicodon_count_GTGCGA,12636.5,0.0
kozak-3_A,12636.5,0.0
kozak-3_T,12636.5,0.0
kozak-3_G,12636.5,0.0
kozak-3_C,12636.5,0.0
kozak-2_A,12636.5,0.0
kozak-2_T,3063.0,0.10783400535583496
kozak-2_G,12636.5,0.0
kozak-2_C,12636.5,0.0
kozak-1_A,12636.5,0.0
kozak-1_T,12636.5,0.0
kozak-1_G,12636.5,0.0
kozak-1_C,12636.5,0.0
kozak4_A,12636.5,0.0
kozak4_T,12636.5,0.0
kozak4_G,12636.5,0.0
kozak4_C,12636.5,0.0
kozak5_A,4486.0,0.07078179717063904
kozak5_T,12636.5,0.0
kozak5_G,6827.0,0.03282190039753914
kozak5_C,1859.0,0.16283129900693893
aa_freq_M,12636.5,0.0
aa_freq_I,127.0,1.2268442034721374
aa_freq_L,13.0,8.2501911342144
aa_freq_V,1275.0,0.21485449969768525
aa_freq_F,235.0,0.8011141896247864
aa_freq_C,12.0,10.244560508430004
aa_freq_A,1724.0,0.17279079854488372
aa_freq_G,352.0,0.5995395958423615
aa_freq_P,6.0,16.048460829257966
aa_freq_T,1442.0,0.1986310988664627
aa_freq_S,9.0,11.359452939033508
aa_freq_Y,1590.0,0.18525330424308778
aa_freq_W,53.0,2.7030622005462646
aa_freq_Q,171.0,1.0270631939172745
aa_freq_N,680.0,0.3447815030813217
aa_freq_H,2222.0,0.1418754994869232
aa_freq_E,250.0,0.7631346940994262
aa_freq_D,388.0,0.5525777012109756
aa_freq_K,27.0,5.194519494473934
aa_freq_R,16.0,7.6102962985634806
aa_freq_X,12636.5,0.0
1mer_freq_5_A,12636.5,0.0
1mer_freq_5_T,12636.5,0.0
1mer_freq_5_G,12636.5,0.0
1mer_freq_5_C,12636.5,0.0
1mer_freq_C_A,12636.5,0.0
1mer_freq_C_T,12636.5,0.0
1mer_freq_C_G,12636.5,0.0
1mer_freq_C_C,12636.5,0.0
1mer_freq_3_A,12636.5,0.0
1mer_freq_3_T,12636.5,0.0
1mer_freq_3_G,12636.5,0.0
1mer_freq_3_C,12636.5,0.0
2mer_freq_5_AA,3477.0,0.0952941969037056
2mer_freq_5_AT,5325.0,0.05430179834365845
2mer_freq_5_AG,3666.0,0.09008189886808396
2mer_freq_5_AC,601.0,0.38083890080451965
2mer_freq_5_TA,3326.0,0.09939099997282028
2mer_freq_5_TT,129.0,1.2174599096179008
2mer_freq_5_TG,5142.0,0.05716240108013153
2mer_freq_5_TC,105.0,1.4394645974040032
2mer_freq_5_GA,3218.0,0.10299419909715653
2mer_freq_5_GT,32.0,4.497883699834347
2mer_freq_5_GG,3370.0,0.09823170006275177
2mer_freq_5_GC,1427.0,0.19949909895658494
2mer_freq_5_CA,55.0,2.5446236044168473
2mer_freq_5_CT,870.0,0.284972095489502
2mer_freq_5_CG,86.0,1.769907508790493
2mer_freq_5_CC,420.0,0.5097291007637977
2mer_freq_C_AA,12636.5,0.0
2mer_freq_C_AT,4930.0,0.06127950251102447
2mer_freq_C_AG,1778.0,0.16850600242614747
2mer_freq_C_AC,770.0,0.31403969675302507
2mer_freq_C_TA,8591.0,0.015458600223064422
2mer_freq_C_TT,2737.0,0.11925750076770783
2mer_freq_C_TG,144.0,1.1179956063628196
2mer_freq_C_TC,320.0,0.6420349970459938
2mer_freq_C_GA,847.0,0.29073680490255355
2mer_freq_C_GT,1269.0,0.2157250940799713
2mer_freq_C_GG,42.0,3.338043788075447
2mer_freq_C_GC,2226.0,0.14150660037994384
2mer_freq_C_CA,44.0,3.1987952142953873
2mer_freq_C_CT,76.0,1.9691013991832733
2mer_freq_C_CG,5742.0,0.0476978987455368
2mer_freq_C_CC,31.0,4.500630205869674
2mer_freq_3_AA,172.0,1.0217298030853272
2mer_freq_3_AT,1731.0,0.17204640209674835
2mer_freq_3_AG,698.0,0.33829659819602964
2mer_freq_3_AC,507.0,0.43392770141363146
2mer_freq_3_TA,3099.0,0.10678939968347549
2mer_freq_3_TT,5618.0,0.049648800492286684
2mer_freq_3_TG,1231.0,0.21956499963998793
2mer_freq_3_TC,344.0,0.6061771124601364
2mer_freq_3_GA,79.0,1.9020403921604156
2mer_freq_3_GT,24.0,5.97995161563158
2mer_freq_3_GG,7073.0,0.029477500915527345
2mer_freq_3_GC,1811.0,0.16604759693145751
2mer_freq_3_CA,102.0,1.4808137178421021
2mer_freq_3_CT,849.0,0.2895279973745346
2mer_freq_3_CG,4232.0,0.07631409913301468
2mer_freq_3_CC,431.0,0.4973936080932617
3mer_freq_5_AAA,6258.0,0.040258800983428954
3mer_freq_5_AAT,1944.0,0.15686050057411194
3mer_freq_5_AAG,114.0,1.3698329962790012
3mer_freq_5_AAC,524.0,0.42462940216064454
3mer_freq_5_ATA,12636.5,0.0
