,rank,mean_importance
utr5_log_size,101.0,130.34361655563117
cds_log_size,1.0,2702.5026817157864
utr3_log_size,19.0,446.7903546258807
tx_log_size,4.0,2095.9371549248694
A_percent5,105.0,120.010566444695
T_percent5,24.0,324.26130236834285
G_percent5,52.0,219.03299405127763
C_percent5,95.0,143.3994086280465
A_percent3,37.0,264.78898629546165
T_percent3,29.0,308.83268917798995
G_percent3,12.0,664.7946304485201
C_percent3,62.0,187.05033029168845
codon_freq_AAA,100.0,132.0943989083171
codon_freq_AAT,64.0,183.3587604805827
codon_freq_AAG,2.0,2481.1056389033793
codon_freq_AAC,57.0,201.42371002435684
codon_freq_ATA,6.0,1229.5026028841735
codon_freq_ATT,120.0,99.03553150892257
codon_freq_ATG,38.0,256.0919008940458
codon_freq_ATC,7.0,1214.1363124735653
codon_freq_AGA,80.0,158.06312542408705
codon_freq_AGT,59.0,192.13327475041152
codon_freq_AGG,72.0,171.3332565754652
codon_freq_AGC,76.0,159.7767890945077
codon_freq_ACA,90.0,148.4756123766303
codon_freq_ACT,41.0,246.260741750896
codon_freq_ACG,106.0,119.7774765074253
codon_freq_ACC,56.0,204.8425144970417
codon_freq_TAA,34.0,282.9059596270323
codon_freq_TAT,40.0,252.37616161704062
codon_freq_TAG,134.0,79.57594529539347
codon_freq_TAC,44.0,237.80425638705492
codon_freq_TTA,11.0,697.9064979329705
codon_freq_TTT,111.0,115.19780780076981
codon_freq_TTG,133.0,80.06811079382896
codon_freq_TTC,58.0,194.28028291761876
codon_freq_TGA,123.0,94.98873188495637
codon_freq_TGT,33.0,285.59990336298944
codon_freq_TGG,104.0,121.09979163110256
codon_freq_TGC,23.0,343.30605185329915
codon_freq_TCA,70.0,172.3889486938715
codon_freq_TCT,35.0,274.7472489342093
codon_freq_TCG,77.0,159.2608759447932
codon_freq_TCC,55.0,209.87116645872592
codon_freq_GAA,67.0,179.78071857988834
codon_freq_GAT,49.0,234.57250139415265
codon_freq_GAG,28.0,317.59849781394007
codon_freq_GAC,45.0,236.70777207762004
codon_freq_GTA,130.0,82.07029494941234
codon_freq_GTT,82.0,157.0452639594674
codon_freq_GTG,54.0,210.94189498573542
codon_freq_GTC,36.0,271.2167628988624
codon_freq_GGA,116.0,103.28582032620906
