,bio_source,fold,accuracy_score,f1_score,precision_score,recall_score,roc_auc_score,total_time(sec)
0,bio_source_buffering_category,0,0.9750297265160524,0.36363636363636365,0.6666666666666666,0.25,0.6231640146878825,6.013004779815674
1,bio_source_buffering_category,1,0.9714964370546318,0.19999999999999998,0.6,0.12,0.5587760097919218,6.002830505371094
2,bio_source_buffering_category,2,0.9774346793349169,0.42424242424242425,0.875,0.28,0.6393880048959609,6.129778623580933
3,bio_source_buffering_category,3,0.9726840855106889,0.34285714285714286,0.6,0.24,0.6175520195838433,6.040348052978516
4,bio_source_buffering_category,4,0.9750297265160524,0.2758620689655173,1.0,0.16,0.58,6.03862190246582
5,bio_source_buffering_category,5,0.9833729216152018,0.631578947368421,0.9230769230769231,0.48,0.7393880048959608,6.091917991638184
6,bio_source_buffering_category,6,0.9738717339667459,0.3529411764705882,0.6666666666666666,0.24,0.6181640146878825,6.0988404750823975
7,bio_source_buffering_category,7,0.9798099762470309,0.5405405405405406,0.8333333333333334,0.4,0.6987760097919216,5.908701419830322
8,bio_source_buffering_category,8,0.9738717339667459,0.26666666666666666,0.8,0.16,0.5793880048959608,6.031705617904663
9,bio_source_buffering_category,9,0.9774346793349169,0.3870967741935484,1.0,0.24,0.62,6.087591648101807
10,bio_source_buffering_category,mean,0.9760035700062982,0.3785422104941213,0.7964743589743589,0.257,0.6274596083231334,6.044334101676941
