,rank,mean_importance
utr5_log_size,10.0,292.5480866730213
cds_log_size,1.0,8987.501408016682
utr3_log_size,58.0,66.06339883208275
tx_log_size,54.0,76.72187129855156
A_percent5,20.0,175.20370220541955
T_percent5,19.0,192.74421874284744
G_percent5,68.0,50.00802891254425
C_percent5,30.0,137.1895025074482
A_percent3,51.0,79.33413115143776
T_percent3,8.0,309.497143471241
G_percent3,22.0,166.82200594544412
C_percent3,55.0,68.88970358371735
codon_freq_AAA,98.0,34.1694322347641
codon_freq_AAT,88.0,37.10220718383789
codon_freq_AAG,9.0,302.71847051382065
codon_freq_AAC,38.0,108.61539419293403
codon_freq_ATA,53.0,77.01721314191818
codon_freq_ATT,59.0,65.36635930538178
codon_freq_ATG,23.0,163.7616072654724
codon_freq_ATC,34.0,116.90967008471489
codon_freq_AGA,42.0,94.33793390393257
codon_freq_AGT,65.0,55.11887736320496
codon_freq_AGG,7.0,328.1577803373337
codon_freq_AGC,25.0,158.41920670866966
codon_freq_ACA,107.0,30.034948265552522
codon_freq_ACT,117.0,26.857062178850175
codon_freq_ACG,118.0,26.211323034763335
codon_freq_ACC,73.0,46.218703931570055
codon_freq_TAA,69.0,49.5736784696579
codon_freq_TAT,100.0,33.1145318210125
codon_freq_TAG,160.0,8.060703831911088
codon_freq_TAC,95.0,34.66904420256615
codon_freq_TTA,21.0,172.44911642074584
codon_freq_TTT,141.0,20.573750376701355
codon_freq_TTG,129.0,23.92940390110016
codon_freq_TTC,90.0,36.87600699067116
codon_freq_TGA,131.0,22.717919039726258
codon_freq_TGT,35.0,115.9746769785881
codon_freq_TGG,71.0,49.37080920338631
codon_freq_TGC,29.0,144.88521141409873
codon_freq_TCA,48.0,80.65223424434662
codon_freq_TCT,97.0,34.37829366922379
codon_freq_TCG,116.0,27.930497807264327
codon_freq_TCC,99.0,33.66455001831055
codon_freq_GAA,120.0,25.880198752880098
codon_freq_GAT,27.0,148.18716630339622
codon_freq_GAG,92.0,35.8132159113884
codon_freq_GAC,127.0,24.19905291199684
codon_freq_GTA,104.0,30.287511014938353
codon_freq_GTT,106.0,30.130736792087554
codon_freq_GTG,143.0,19.913299000263216
codon_freq_GTC,96.0,34.591156566143034
codon_freq_GGA,84.0,39.20881990194321
codon_freq_GGT,15.0,224.897206813097
codon_freq_GGG,32.0,125.40668758153916
codon_freq_GGC,83.0,39.54267499446869
codon_freq_GCA,75.0,42.88335967063904
codon_freq_GCT,31.0,133.30248880386353
codon_freq_GCG,76.0,42.85200755000115
codon_freq_GCC,94.0,34.87148165106773
codon_freq_CAA,39.0,108.29282631874085
codon_freq_CAT,82.0,39.66039201021194
codon_freq_CAG,122.0,25.69378326535225
codon_freq_CAC,13.0,250.75099078416824
codon_freq_CTA,49.0,80.2037993133068
codon_freq_CTT,145.0,19.462227016687393
codon_freq_CTG,128.0,24.136664074659347
codon_freq_CTC,86.0,37.99727445244789
codon_freq_CGA,114.0,28.200304871797563
codon_freq_CGT,36.0,115.1127984046936
codon_freq_CGG,41.0,97.51216647028923
codon_freq_CGC,138.0,20.95158804655075
codon_freq_CCA,43.0,94.20222099423408
codon_freq_CCT,119.0,25.94020763039589
codon_freq_CCG,70.0,49.455992543697356
codon_freq_CCC,79.0,41.167733281850815
aa_freq_M,33.0,119.72633342146874
aa_freq_I,28.0,146.50388081669809
aa_freq_L,14.0,249.70975403189658
aa_freq_V,46.0,90.67567220330238
aa_freq_F,115.0,28.02284731864929
aa_freq_C,5.0,588.9116950213909
aa_freq_A,62.0,59.47748458981514
aa_freq_G,56.0,68.16443855762482
aa_freq_P,44.0,93.38067702054977
aa_freq_T,81.0,39.807648277282716
aa_freq_S,3.0,906.493878775835
aa_freq_Y,72.0,47.289460498094556
aa_freq_W,151.0,18.10900659561157
aa_freq_Q,24.0,163.6294882416725
aa_freq_N,17.0,207.82570207715034
aa_freq_H,4.0,663.3709961235523
aa_freq_E,60.0,60.498305982351305
aa_freq_D,16.0,208.70613542199135
aa_freq_K,40.0,98.28807279467583
aa_freq_R,12.0,251.50561991930007
aa_freq_X,161.0,0.0
3mer_freq_5_AAA,103.0,31.564007931947707
3mer_freq_5_AAT,152.0,17.49631471037865
3mer_freq_5_AAG,147.0,19.097661685943603
3mer_freq_5_AAC,148.0,18.742013728618623
3mer_freq_5_ATA,156.0,14.565128099918365
3mer_freq_5_ATT,150.0,18.28669263124466
3mer_freq_5_ATG,2.0,2503.967425251007
3mer_freq_5_ATC,123.0,25.52281277179718
3mer_freq_5_AGA,157.0,12.494950604438781
3mer_freq_5_AGT,124.0,25.498282092809678
3mer_freq_5_AGG,134.0,21.72689597606659
3mer_freq_5_AGC,67.0,51.51086121797562
3mer_freq_5_ACA,85.0,38.66498597860336
3mer_freq_5_ACT,149.0,18.593669754266738
3mer_freq_5_ACG,37.0,112.70640778541565
3mer_freq_5_ACC,135.0,21.20114454627037
3mer_freq_5_TAA,139.0,20.837366104125977
3mer_freq_5_TAT,158.0,12.308996140956879
3mer_freq_5_TAG,146.0,19.139289450645446
3mer_freq_5_TAC,159.0,11.222493088245391
3mer_freq_5_TTA,154.0,16.723517858982085
3mer_freq_5_TTT,64.0,55.56286529302597
3mer_freq_5_TTG,93.0,35.116279172897336
3mer_freq_5_TTC,61.0,60.47581732273102
3mer_freq_5_TGA,125.0,24.81193780899048
3mer_freq_5_TGT,102.0,31.66069809794426
3mer_freq_5_TGG,77.0,42.73303588032722
3mer_freq_5_TGC,130.0,23.10997661948204
3mer_freq_5_TCA,144.0,19.710366332530974
3mer_freq_5_TCT,74.0,44.27704847455025
3mer_freq_5_TCG,45.0,92.50207738280297
3mer_freq_5_TCC,126.0,24.680606603622437
3mer_freq_5_GAA,153.0,17.274670922756194
3mer_freq_5_GAT,137.0,21.011279821395874
3mer_freq_5_GAG,101.0,33.10866699814797
3mer_freq_5_GAC,136.0,21.100708216428757
3mer_freq_5_GTA,109.0,29.592118513584136
3mer_freq_5_GTT,63.0,58.33696077466011
3mer_freq_5_GTG,80.0,40.43548325300217
3mer_freq_5_GTC,113.0,28.761693370342254
3mer_freq_5_GGA,110.0,29.42648251056671
3mer_freq_5_GGT,140.0,20.792558246850966
3mer_freq_5_GGG,11.0,266.63436394333837
3mer_freq_5_GGC,6.0,361.43398768901824
3mer_freq_5_GCA,66.0,52.33186826705933
3mer_freq_5_GCT,142.0,20.20570513010025
3mer_freq_5_GCG,111.0,29.386891967058183
3mer_freq_5_GCC,26.0,148.9534277200699
3mer_freq_5_CAA,108.0,29.642546170949934
3mer_freq_5_CAT,133.0,22.011588197946548
3mer_freq_5_CAG,105.0,30.22681313753128
3mer_freq_5_CAC,87.0,37.307966196537016
3mer_freq_5_CTA,155.0,14.982697033882141
3mer_freq_5_CTT,91.0,36.21978930830956
3mer_freq_5_CTG,78.0,41.938533091545104
3mer_freq_5_CTC,89.0,36.969942605495454
3mer_freq_5_CGA,52.0,77.87810664772988
3mer_freq_5_CGT,57.0,66.82577000856399
3mer_freq_5_CGG,47.0,86.3448568224907
3mer_freq_5_CGC,132.0,22.612960106134416
3mer_freq_5_CCA,121.0,25.832512325048448
3mer_freq_5_CCT,112.0,29.007044064998627
3mer_freq_5_CCG,50.0,79.67338877916336
3mer_freq_5_CCC,18.0,205.90040228962897
