,rank,mean_importance
utr5_log_size,110.0,45.15227335691452
cds_log_size,1.0,7083.151636821031
utr3_log_size,2.0,1031.1133147537707
tx_log_size,53.0,102.76006677150727
A_percent5,55.0,94.38433250784874
T_percent5,96.0,51.76795814037323
G_percent5,84.0,55.74076685905457
C_percent5,71.0,64.10380792021752
A_percent3,19.0,255.67987070679663
T_percent3,17.0,265.99268251657486
G_percent3,50.0,113.00269737243653
C_percent3,78.0,60.79580981731415
codon_freq_AAA,98.0,50.72482962012291
codon_freq_AAT,38.0,145.75388226509094
codon_freq_AAG,6.0,685.8747542798519
codon_freq_AAC,86.0,55.253240895271304
codon_freq_ATA,27.0,187.48764569163322
codon_freq_ATT,22.0,226.57726348638533
codon_freq_ATG,48.0,116.89965686798095
codon_freq_ATC,21.0,241.69387649297715
codon_freq_AGA,41.0,139.23097856640817
codon_freq_AGT,111.0,45.10081717967987
codon_freq_AGG,16.0,268.35109307169915
codon_freq_AGC,37.0,146.3059918165207
codon_freq_ACA,120.0,40.80679560303688
codon_freq_ACT,122.0,39.69174709320068
codon_freq_ACG,92.0,54.29306025505066
codon_freq_ACC,54.0,94.6286051273346
codon_freq_TAA,115.0,43.121189820766446
codon_freq_TAT,73.0,63.439492201805116
codon_freq_TAG,127.0,38.59893046617508
codon_freq_TAC,148.0,28.10169913768768
codon_freq_TTA,123.0,39.65798394680023
codon_freq_TTT,83.0,56.016908848285674
codon_freq_TTG,89.0,54.897813600301745
codon_freq_TTC,107.0,47.21728630065918
codon_freq_TGA,44.0,126.86492956280708
codon_freq_TGT,66.0,68.9974115729332
codon_freq_TGG,42.0,135.86975446343422
codon_freq_TGC,12.0,360.33322115540506
codon_freq_TCA,94.0,53.23058092594147
codon_freq_TCT,106.0,47.39123574495316
codon_freq_TCG,87.0,55.24500383138657
codon_freq_TCC,52.0,106.42376586198807
codon_freq_GAA,100.0,49.58019108772278
codon_freq_GAT,4.0,836.4118666946888
codon_freq_GAG,36.0,147.56718530058862
codon_freq_GAC,108.0,46.70129203796387
codon_freq_GTA,130.0,36.72019511461258
codon_freq_GTT,47.0,118.31373940706253
codon_freq_GTG,75.0,62.87082168459892
codon_freq_GTC,70.0,64.26971416473388
codon_freq_GGA,117.0,41.77036953568459
codon_freq_GGT,9.0,450.62311708927155
codon_freq_GGG,74.0,62.982869553565976
codon_freq_GGC,88.0,54.99561185836792
codon_freq_GCA,76.0,61.71155488491058
codon_freq_GCT,11.0,386.127976500988
codon_freq_GCG,109.0,46.30029393434525
codon_freq_GCC,116.0,42.22792711853981
codon_freq_CAA,15.0,269.54227298498154
codon_freq_CAT,81.0,57.96894407272339
codon_freq_CAG,90.0,54.502220678329465
codon_freq_CAC,25.0,190.8825793981552
codon_freq_CTA,62.0,77.9692128777504
codon_freq_CTT,102.0,48.57219603061676
codon_freq_CTG,46.0,122.96221029758453
codon_freq_CTC,28.0,178.27939875125884
codon_freq_CGA,34.0,165.63021095991135
codon_freq_CGT,14.0,293.9473304629326
codon_freq_CGG,125.0,39.02729496955872
codon_freq_CGC,69.0,64.97678594589233
codon_freq_CCA,85.0,55.26596346497536
codon_freq_CCT,77.0,61.415463644266126
codon_freq_CCG,51.0,106.91191679239273
codon_freq_CCC,23.0,204.90320698618888
aa_freq_M,80.0,58.391564059257504
aa_freq_I,31.0,169.27672060728074
aa_freq_L,3.0,846.7137381315231
aa_freq_V,60.0,85.72501802444458
aa_freq_F,56.0,91.62871588468552
aa_freq_C,8.0,478.52659971117976
aa_freq_A,65.0,69.53742952346802
aa_freq_G,63.0,75.12898036241532
aa_freq_P,32.0,169.10059710741044
aa_freq_T,79.0,58.97279109954834
aa_freq_S,5.0,780.1047729730606
aa_freq_Y,113.0,44.997100138664244
aa_freq_W,82.0,57.4259000480175
aa_freq_Q,61.0,81.51074203252793
aa_freq_N,40.0,141.1718800485134
aa_freq_H,13.0,325.0081632614136
aa_freq_E,33.0,168.63078339099883
aa_freq_D,24.0,200.74519896507263
aa_freq_K,7.0,621.2600191116333
aa_freq_R,43.0,133.6915868639946
aa_freq_X,161.0,0.0
3mer_freq_5_AAA,156.0,18.59417353272438
3mer_freq_5_AAT,159.0,15.90144693851471
3mer_freq_5_AAG,134.0,33.89493691921234
3mer_freq_5_AAC,95.0,52.24193589687347
3mer_freq_5_ATA,153.0,21.749651992321013
3mer_freq_5_ATT,158.0,16.828996074199676
3mer_freq_5_ATG,67.0,67.04267848730088
3mer_freq_5_ATC,157.0,18.591802966594695
3mer_freq_5_AGA,142.0,31.698701977729797
3mer_freq_5_AGT,126.0,38.69657718539238
3mer_freq_5_AGG,118.0,41.4517941236496
3mer_freq_5_AGC,151.0,26.35309635400772
3mer_freq_5_ACA,128.0,38.4598127245903
3mer_freq_5_ACT,59.0,88.3648728966713
3mer_freq_5_ACG,104.0,48.22593438029289
3mer_freq_5_ACC,30.0,169.46288661956788
3mer_freq_5_TAA,114.0,43.98548860549927
3mer_freq_5_TAT,155.0,18.718815970420838
3mer_freq_5_TAG,147.0,28.47015999555588
3mer_freq_5_TAC,154.0,20.061198043823243
3mer_freq_5_TTA,105.0,47.69249975085258
3mer_freq_5_TTT,45.0,123.93901426196098
3mer_freq_5_TTG,152.0,24.144509065151215
3mer_freq_5_TTC,64.0,71.71184943318367
3mer_freq_5_TGA,149.0,27.16618819832802
3mer_freq_5_TGT,160.0,15.150434064865113
3mer_freq_5_TGG,112.0,45.082154989242554
3mer_freq_5_TGC,140.0,32.35622892379761
3mer_freq_5_TCA,141.0,32.17485414743423
3mer_freq_5_TCT,58.0,89.01061094403266
3mer_freq_5_TCG,29.0,174.94049581289292
3mer_freq_5_TCC,135.0,33.759278011322024
3mer_freq_5_GAA,146.0,29.51550160050392
3mer_freq_5_GAT,150.0,26.51600397825241
3mer_freq_5_GAG,133.0,36.50504697561264
3mer_freq_5_GAC,145.0,31.478655910491945
3mer_freq_5_GTA,137.0,33.03163307905197
3mer_freq_5_GTT,129.0,37.556163585186006
3mer_freq_5_GTG,143.0,31.62832599878311
3mer_freq_5_GTC,119.0,41.01071888208389
3mer_freq_5_GGA,121.0,39.901624870300296
3mer_freq_5_GGT,144.0,31.60586961507797
3mer_freq_5_GGG,99.0,50.416147637367246
3mer_freq_5_GGC,97.0,51.35992972850799
3mer_freq_5_GCA,131.0,36.695621967315674
3mer_freq_5_GCT,103.0,48.37777751088142
3mer_freq_5_GCG,35.0,160.24702641367912
3mer_freq_5_GCC,57.0,90.83056999444962
3mer_freq_5_CAA,139.0,32.689039373397826
3mer_freq_5_CAT,138.0,32.751330292224885
3mer_freq_5_CAG,18.0,256.4007319569588
3mer_freq_5_CAC,93.0,53.89739087820053
3mer_freq_5_CTA,132.0,36.551169991493225
3mer_freq_5_CTT,72.0,63.79413438439369
3mer_freq_5_CTG,20.0,251.0105705976486
3mer_freq_5_CTC,124.0,39.56511524915695
3mer_freq_5_CGA,136.0,33.38926410675049
3mer_freq_5_CGT,26.0,189.13467774391174
3mer_freq_5_CGG,10.0,399.61254254579546
3mer_freq_5_CGC,39.0,142.52213772535325
3mer_freq_5_CCA,91.0,54.44201797246933
3mer_freq_5_CCT,101.0,49.13667003512383
3mer_freq_5_CCG,49.0,113.28302268385887
3mer_freq_5_CCC,68.0,65.53743762373924
