,rank,mean_importance
utr5_log_size,60.0,6.444826735928655
cds_log_size,1.0,145.91242408268153
utr3_log_size,11.0,16.185374105721714
tx_log_size,3.0,50.31645647957921
A_percent5,146.0,2.638822079449892
T_percent5,103.0,4.206615317985415
G_percent5,122.0,3.479149790108204
C_percent5,119.0,3.62071697153151
A_percent3,22.0,11.945304655283689
T_percent3,42.0,7.5215830154716965
G_percent3,65.0,6.139398194104433
C_percent3,13.0,15.544787560403346
codon_freq_AAA,61.0,6.293903224170208
codon_freq_AAT,120.0,3.585867828130722
codon_freq_AAG,20.0,12.901123232394458
codon_freq_AAC,72.0,5.764222455024719
codon_freq_ATA,45.0,7.257619193568826
codon_freq_ATT,82.0,5.213722483813763
codon_freq_ATG,114.0,3.940678060054779
codon_freq_ATC,28.0,10.850502093881369
codon_freq_AGA,47.0,7.204506972059607
codon_freq_AGT,113.0,3.947680431604385
codon_freq_AGG,43.0,7.432857965305447
codon_freq_AGC,14.0,15.119044506549836
codon_freq_ACA,49.0,7.16376929320395
codon_freq_ACT,95.0,4.499684993177652
codon_freq_ACG,57.0,6.56239792406559
codon_freq_ACC,59.0,6.448176883906126
codon_freq_TAA,66.0,5.950996506214142
codon_freq_TAT,104.0,4.193837366253137
codon_freq_TAG,159.0,1.3551507025957108
codon_freq_TAC,101.0,4.252825736999512
codon_freq_TTA,93.0,4.609424287080765
codon_freq_TTT,118.0,3.742639407515526
codon_freq_TTG,70.0,5.791097120195627
codon_freq_TTC,9.0,17.726678788661957
codon_freq_TGA,149.0,2.3454272001981735
codon_freq_TGT,96.0,4.48017407618463
codon_freq_TGG,30.0,10.449378214776516
codon_freq_TGC,5.0,24.200327257066967
codon_freq_TCA,56.0,6.584152375906706
codon_freq_TCT,108.0,4.117000160366297
codon_freq_TCG,107.0,4.122222675383091
codon_freq_TCC,31.0,10.000321939587593
codon_freq_GAA,12.0,15.984010215103627
codon_freq_GAT,10.0,17.017100872099398
codon_freq_GAG,83.0,5.147851495072246
codon_freq_GAC,76.0,5.557415266335011
codon_freq_GTA,74.0,5.609348931536078
codon_freq_GTT,89.0,4.870333079621195
codon_freq_GTG,24.0,11.757463897019624
codon_freq_GTC,39.0,7.743848822638393
codon_freq_GGA,38.0,7.95957620292902
codon_freq_GGT,7.0,19.583328469842673
codon_freq_GGG,19.0,13.077175809070468
codon_freq_GGC,100.0,4.282305876538158
codon_freq_GCA,85.0,4.963145986944437
codon_freq_GCT,33.0,9.27887020483613
codon_freq_GCG,63.0,6.185056881979108
codon_freq_GCC,41.0,7.537514914572239
codon_freq_CAA,36.0,8.22705909833312
codon_freq_CAT,98.0,4.335521271079779
codon_freq_CAG,35.0,8.239096139371394
codon_freq_CAC,87.0,4.883777390420437
codon_freq_CTA,115.0,3.7800517920404673
codon_freq_CTT,29.0,10.554045552387834
codon_freq_CTG,2.0,59.53535388633609
codon_freq_CTC,46.0,7.248444879800081
codon_freq_CGA,81.0,5.262775570899248
codon_freq_CGT,27.0,10.972392102330923
codon_freq_CGG,73.0,5.744829397648573
codon_freq_CGC,99.0,4.283275492489338
codon_freq_CCA,34.0,9.199990493059158
codon_freq_CCT,71.0,5.784069841355086
codon_freq_CCG,112.0,3.972309149801731
codon_freq_CCC,26.0,11.215204296261073
aa_freq_M,154.0,1.9309973061084746
aa_freq_I,48.0,7.178561429679394
aa_freq_L,15.0,13.76278304643929
aa_freq_V,97.0,4.403554898872971
aa_freq_F,25.0,11.604073985293507
aa_freq_C,17.0,13.343943046033383
aa_freq_A,90.0,4.73980733603239
aa_freq_G,55.0,6.768583108484745
aa_freq_P,4.0,33.96990068927407
aa_freq_T,54.0,6.869779074937105
aa_freq_S,18.0,13.214783995971084
aa_freq_Y,116.0,3.767930079996586
aa_freq_W,68.0,5.837669567763806
aa_freq_Q,50.0,7.1206949286162855
aa_freq_N,94.0,4.603112221509218
aa_freq_H,64.0,6.146557796746492
aa_freq_E,44.0,7.386825701966882
aa_freq_D,77.0,5.4171127140522
aa_freq_K,23.0,11.870014204829932
aa_freq_R,8.0,18.053169809281826
aa_freq_X,161.0,0.0
3mer_freq_5_AAA,84.0,5.10842739790678
3mer_freq_5_AAT,124.0,3.3288244757801295
3mer_freq_5_AAG,51.0,7.089718319103122
3mer_freq_5_AAC,143.0,2.6740496143698693
3mer_freq_5_ATA,153.0,1.964986587315798
3mer_freq_5_ATT,160.0,1.0373804964125157
3mer_freq_5_ATG,121.0,3.545549500733614
3mer_freq_5_ATC,145.0,2.6411360457539557
3mer_freq_5_AGA,126.0,3.309475702047348
3mer_freq_5_AGT,127.0,3.2153038129210474
3mer_freq_5_AGG,136.0,2.9388555154204368
3mer_freq_5_AGC,62.0,6.240969111770392
3mer_freq_5_ACA,105.0,4.1493605971336365
3mer_freq_5_ACT,148.0,2.4123972959816458
3mer_freq_5_ACG,123.0,3.354546056687832
3mer_freq_5_ACC,92.0,4.653627648949623
3mer_freq_5_TAA,158.0,1.4660853900015354
3mer_freq_5_TAT,155.0,1.913028583675623
3mer_freq_5_TAG,137.0,2.8501053757965567
3mer_freq_5_TAC,142.0,2.7608625784516336
3mer_freq_5_TTA,128.0,3.1972152698785066
3mer_freq_5_TTT,88.0,4.874424275010824
3mer_freq_5_TTG,156.0,1.8607665121555328
3mer_freq_5_TTC,16.0,13.62509769499302
3mer_freq_5_TGA,152.0,2.0343375764787197
3mer_freq_5_TGT,151.0,2.13268598690629
3mer_freq_5_TGG,86.0,4.933850605040789
