,rank,mean_importance
utr5_log_size,55.0,6.722213715687394
cds_log_size,1.0,146.15380187667907
utr3_log_size,14.0,15.616492723301054
tx_log_size,3.0,50.240764832496644
A_percent5,152.0,2.1230963829904796
T_percent5,120.0,3.476076352596283
G_percent5,117.0,3.6196102790534495
C_percent5,128.0,3.216796048358083
A_percent3,24.0,11.393674527481199
T_percent3,53.0,6.851991731673479
G_percent3,60.0,6.308234225958586
C_percent3,13.0,15.911340451613068
codon_freq_AAA,71.0,5.8317176006734375
codon_freq_AAT,110.0,3.9052836265414954
codon_freq_AAG,22.0,11.903862672299146
codon_freq_AAC,65.0,6.059525021910668
codon_freq_ATA,46.0,7.271482133865357
codon_freq_ATT,88.0,4.848371279984713
codon_freq_ATG,102.0,4.101755613461137
codon_freq_ATC,26.0,11.047468549013137
codon_freq_AGA,50.0,7.118814041465521
codon_freq_AGT,94.0,4.58938459455967
codon_freq_AGG,41.0,7.711752650141716
codon_freq_AGC,11.0,16.418990549817682
codon_freq_ACA,45.0,7.3140906766057014
codon_freq_ACT,79.0,5.300696973502636
codon_freq_ACG,61.0,6.232656165957451
codon_freq_ACC,54.0,6.8238885924220085
codon_freq_TAA,63.0,6.158919587731361
codon_freq_TAT,99.0,4.2125319294631485
codon_freq_TAG,160.0,1.1077627055346966
codon_freq_TAC,89.0,4.821360329538583
codon_freq_TTA,106.0,4.0208670303225515
codon_freq_TTT,121.0,3.4451520889997482
codon_freq_TTG,78.0,5.326654887571931
codon_freq_TTC,9.0,18.076888769865036
codon_freq_TGA,150.0,2.2639776051044462
codon_freq_TGT,90.0,4.789606349915266
codon_freq_TGG,27.0,11.04596359282732
codon_freq_TGC,5.0,25.088723473623396
codon_freq_TCA,67.0,5.916866298019886
codon_freq_TCT,97.0,4.3029271915555
codon_freq_TCG,98.0,4.258487612754107
codon_freq_TCC,29.0,10.44859055802226
codon_freq_GAA,12.0,15.975967182964087
codon_freq_GAT,10.0,17.022306597605347
codon_freq_GAG,92.0,4.605276992172003
codon_freq_GAC,56.0,6.697584138810635
codon_freq_GTA,73.0,5.496750380843878
codon_freq_GTT,91.0,4.674363268911838
