,rank,mean_importance
utr5_log_size,8.0,349.70194922089576
cds_log_size,1.0,7384.820257639885
utr3_log_size,50.0,75.35853430628777
tx_log_size,89.0,37.72918528914452
A_percent5,19.0,199.4756207883358
T_percent5,21.0,194.71549146175386
G_percent5,62.0,51.89485862255096
C_percent5,71.0,45.238191998004915
A_percent3,48.0,81.03706767559052
T_percent3,13.0,282.747445577383
G_percent3,32.0,119.06389142274857
C_percent3,83.0,39.897105890512464
codon_freq_AAA,68.0,45.70499690771103
codon_freq_AAT,55.0,64.64284161925316
codon_freq_AAG,11.0,296.13636887669566
codon_freq_AAC,45.0,92.61446630954742
codon_freq_ATA,52.0,73.43899577260018
codon_freq_ATT,38.0,101.4741602241993
codon_freq_ATG,20.0,199.34981719255447
codon_freq_ATC,41.0,94.2111461520195
codon_freq_AGA,27.0,141.57674214839935
codon_freq_AGT,42.0,93.95771703720092
codon_freq_AGG,5.0,440.80017973184584
codon_freq_AGC,26.0,146.76193671822548
codon_freq_ACA,104.0,29.817330092191696
codon_freq_ACT,65.0,47.65114563703537
codon_freq_ACG,130.0,23.686786538362504
codon_freq_ACC,74.0,44.750033342838286
codon_freq_TAA,57.0,61.95200000405312
codon_freq_TAT,95.0,32.390012490749356
codon_freq_TAG,160.0,8.211035084724426
codon_freq_TAC,59.0,58.495552277565004
codon_freq_TTA,40.0,98.56206070184707
codon_freq_TTT,82.0,40.37586195468903
codon_freq_TTG,97.0,32.115437000989914
codon_freq_TTC,118.0,25.2041815161705
codon_freq_TGA,131.0,23.339043605327607
codon_freq_TGT,37.0,110.70408415198327
codon_freq_TGG,47.0,87.15584888458253
codon_freq_TGC,24.0,163.2549902498722
codon_freq_TCA,33.0,114.35270426869393
codon_freq_TCT,80.0,40.809243655204774
codon_freq_TCG,142.0,20.517597562074663
codon_freq_TCC,107.0,29.14570834636688
codon_freq_GAA,138.0,21.38333692550659
codon_freq_GAT,18.0,207.1009073138237
codon_freq_GAG,63.0,51.01351823210716
codon_freq_GAC,117.0,25.506896418333053
codon_freq_GTA,76.0,43.93869649171829
codon_freq_GTT,121.0,25.017134422063826
codon_freq_GTG,152.0,17.388358694314956
codon_freq_GTC,93.0,33.083853381872174
codon_freq_GGA,78.0,43.55349912047386
codon_freq_GGT,36.0,111.20663088560104
codon_freq_GGG,31.0,122.01222168803216
codon_freq_GGC,87.0,38.05162489414215
codon_freq_GCA,99.0,30.788815015554427
codon_freq_GCT,22.0,180.70988668203353
codon_freq_GCG,73.0,44.938845133781435
codon_freq_GCC,143.0,20.321175479888915
codon_freq_CAA,46.0,89.17185051441193
codon_freq_CAT,54.0,68.30664256811141
codon_freq_CAG,113.0,27.288490372896195
codon_freq_CAC,23.0,164.17642266750335
codon_freq_CTA,29.0,132.62411118149757
codon_freq_CTT,110.0,28.147516679763793
codon_freq_CTG,75.0,43.98405294418335
codon_freq_CTC,92.0,33.59175233840942
codon_freq_CGA,127.0,23.92878848910332
codon_freq_CGT,49.0,79.52915413975715
codon_freq_CGG,39.0,99.82468878030777
codon_freq_CGC,91.0,34.00297350883484
codon_freq_CCA,56.0,63.918941020965576
codon_freq_CCT,86.0,39.10295099020004
codon_freq_CCG,88.0,37.86390327811241
codon_freq_CCC,101.0,30.711820363998413
aa_freq_M,15.0,241.42773033380507
aa_freq_I,17.0,239.99225823879243
aa_freq_L,6.0,389.9342913031578
aa_freq_V,84.0,39.439915013313296
